seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
1513,1785044606395,1785044606394,1,1.067,0,40
1514,1785044606395,1785044606394,1,1.000,0,40
1515,1785044606395,1785044606394,1,0.938,0,40
1516,1785044606395,1785044606394,1,0.879,0,40
1517,1785044606395,1785044606394,1,0.824,0,40
1518,1785044606395,1785044606395,0,0.835,0,40
1519,1785044606520,1785044606520,0,0.783,0,40
1520,1785044606521,1785044606520,1,0.797,0,40
1521,1785044606521,1785044606521,0,0.809,0,40
1522,1785044606522,1785044606521,1,0.821,0,40
1523,1785044606523,1785044606521,2,0.832,0,40
1524,1785044606523,1785044606521,2,0.780,0,40
1525,1785044606523,1785044606522,1,0.794,0,40
1526,1785044606523,1785044606522,1,0.744,0,40
1527,1785044606523,1785044606522,1,0.698,0,40
1528,1785044606523,1785044606522,1,0.654,0,40
1529,1785044606523,1785044606523,0,0.676,0,40
1530,1785044606523,1785044606523,0,0.634,0,40
1531,1785044606523,1785044606523,0,0.594,0,40
1532,1785044606649,1785044606649,0,0.557,0,40
1533,1785044606650,1785044606649,1,0.585,0,40
1534,1785044606650,1785044606649,1,0.548,0,40
1535,1785044606651,1785044606649,2,0.576,0,40
1536,1785044606651,1785044606650,1,0.603,0,40
1537,1785044606651,1785044606650,1,0.565,0,40
1538,1785044606651,1785044606650,1,0.530,0,40
1539,1785044606651,1785044606650,1,0.497,0,40
1540,1785044606651,1785044606650,1,0.466,0,40
1541,1785044606652,1785044606650,2,0.499,0,40
1542,1785044606652,1785044606651,1,0.530,0,40
1543,1785044606652,1785044606651,1,0.497,0,40
1544,1785044606778,1785044606777,1,0.466,0,40
1545,1785044606779,1785044606778,1,0.437,0,40
1546,1785044606779,1785044606778,1,0.410,0,40
1547,1785044606780,1785044606779,1,0.384,0,40
1548,1785044606780,1785044606779,1,0.360,0,40
1549,1785044606780,1785044606780,0,0.400,0,40
1550,1785044606781,1785044606780,1,0.438,0,40
1551,1785044606781,1785044606781,0,0.473,0,40
1552,1785044606781,1785044606781,0,0.443,0,40
1553,1785044606781,1785044606781,0,0.415,0,40
1554,1785044606782,1785044606781,1,0.452,0,40
1555,1785044606782,1785044606782,0,0.486,0,40
1556,1785044606782,1785044606782,0,0.456,0,40
1557,1785044606908,1785044606908,0,0.427,0,40
1558,1785044606923,1785044606908,15,1.338,0,40
1559,1785044606923,1785044606908,15,1.255,0,40
1560,1785044606925,1785044606908,17,1.301,0,40
1561,1785044606925,1785044606908,17,1.220,0,40
1562,1785044606925,1785044606908,17,1.144,0,40
1563,1785044606926,1785044606908,18,1.135,0,40
1564,1785044606926,1785044606908,18,1.064,0,40
1565,1785044606926,1785044606910,16,1.122,0,40
1566,1785044606926,1785044606910,16,1.052,0,40
1567,1785044606926,1785044606910,16,0.986,0,40
1568,1785044606927,1785044606910,17,0.987,0,40
1569,1785044607037,1785044607036,1,1.925,0,40
1570,1785044607037,1785044607037,0,1.868,0,40
1571,1785044607038,1785044607037,1,1.813,0,40
1572,1785044607038,1785044607038,0,1.763,0,40
1573,1785044607038,1785044607038,0,1.652,0,40
1574,1785044607039,1785044607038,1,1.612,0,40
1575,1785044607039,1785044607039,0,1.573,0,40
1576,1785044607039,1785044607039,0,1.475,0,40
1577,1785044607041,1785044607039,2,1.508,0,40
1578,1785044607041,1785044607039,2,1.414,0,40
1579,1785044607041,1785044607039,2,1.325,0,40
1580,1785044607041,1785044607039,2,1.242,0,40
1581,1785044607042,1785044607039,3,1.227,0,40
1582,1785044607042,1785044607039,3,1.151,0,40
1583,1785044607042,1785044607041,1,1.204,0,40
1584,1785044607043,1785044607041,2,1.191,0,40
1585,1785044607169,1785044607168,1,1.179,0,40
1586,1785044607169,1785044607168,1,1.105,0,40
1587,1785044607170,1785044607169,1,1.036,0,40
1588,1785044607170,1785044607169,1,0.971,0,40
1589,1785044607170,1785044607169,1,0.911,0,40
1590,1785044607170,1785044607170,0,0.916,0,40
1591,1785044607171,1785044607170,1,0.922,0,40
1592,1785044607171,1785044607170,1,0.864,0,40
1593,1785044607171,1785044607170,1,0.810,0,40
1594,1785044607171,1785044607170,1,0.759,0,40
1595,1785044607171,1785044607170,1,0.712,0,40
1596,1785044607171,1785044607171,0,0.730,0,40
1597,1785044607171,1785044607171,0,0.684,0,40
1598,1785044607296,1785044607296,0,0.642,0,40
1599,1785044607296,1785044607296,0,0.601,0,40
1600,1785044607297,1785044607296,1,0.626,0,40
1601,1785044607297,1785044607296,1,0.587,0,40
1602,1785044607297,1785044607296,1,0.550,0,40
1603,1785044607297,1785044607296,1,0.516,0,40
1604,1785044607297,1785044607296,1,0.484,0,40
1605,1785044607298,1785044607296,2,0.516,0,40
1606,1785044607298,1785044607297,1,0.546,0,40
1607,1785044607299,1785044607297,2,0.575,0,40
1608,1785044607299,1785044607299,0,0.664,0,40
1609,1785044607301,1785044607299,2,0.747,0,40
1610,1785044607426,1785044607425,1,0.763,0,40
1611,1785044607426,1785044607425,1,0.715,0,40
1612,1785044607426,1785044607425,1,0.671,0,40
1613,1785044607426,1785044607426,0,0.691,0,40
1614,1785044607427,1785044607426,1,0.711,0,40
1615,1785044607427,1785044607426,1,0.666,0,40
1616,1785044607427,1785044607426,1,0.625,0,40
1617,1785044607427,1785044607427,0,0.648,0,40
1618,1785044607427,1785044607427,0,0.607,0,40
1619,1785044607427,1785044607427,0,0.570,0,40
1620,1785044607427,1785044607427,0,0.534,0,40
1621,1785044607427,1785044607427,0,0.501,0,40
1622,1785044607427,1785044607427,0,0.469,0,40
1623,1785044607553,1785044607553,0,0.440,0,40
1624,1785044607555,1785044607553,2,0.537,0,40
1625,1785044607556,1785044607555,1,0.566,0,40
1626,1785044607556,1785044607555,1,0.531,0,40
1627,1785044607556,1785044607555,1,0.498,0,40
1628,1785044607557,1785044607557,0,0.529,0,40
